,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2020-12-31,2021-03-31,0.0288,0,0.0288,None
1,2020-09-30,2020-12-31,0.0288,0,0.0288,None
2,2020-06-30,2020-09-30,0.0334,0,0.0334,None
3,2020-03-31,2020-06-30,0.0334,0,0.0334,None
4,2019-12-31,2020-03-31,0.13,0,0.13,None
5,2019-09-30,2019-12-31,0.13,0,0.13,None
6,2019-06-30,2019-09-30,0.1687,0,0.1687,None
7,2019-03-31,2019-06-30,0.1687,0,0.1687,None
8,2018-12-31,2019-03-31,0.1,0,0.1,None
9,2018-09-30,2018-12-31,0.1,0,0.1,None
10,2018-06-30,2018-09-30,0.1599,0,0.1599,None
11,2018-03-31,2018-06-30,0.1599,0,0.1599,None
12,2017-12-31,2018-03-31,0.0999,0,0.0999,None
13,2017-09-30,2017-12-31,0.0999,0,0.0999,None
