,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-06-30,2022-08-26,None,None,None,None
1,2020-12-31,2021-03-31,-0.0151,0,-0.0151,None
2,2020-09-30,2020-12-31,-0.0151,0,-0.0151,None
3,2020-06-30,2020-09-30,-0.03,0,-0.03,None
4,2020-03-31,2020-06-30,-0.03,0,-0.03,None
5,2019-12-31,2020-03-31,0.0027,0,0.0027,None
6,2019-09-30,2019-12-31,0.0027,0,0.0027,None
7,2019-06-30,2019-09-30,0.1287,0,0.1287,None
8,2019-03-31,2019-06-30,0.1287,0,0.1287,None
9,2018-12-31,2019-03-31,0.115,0,0.115,None
10,2018-09-30,2018-12-31,0.115,0,0.115,None
11,2018-06-30,2018-09-30,0.1173,0,0.1173,None
12,2018-03-31,2018-06-30,0.1173,0,0.1173,None
13,2017-12-31,2018-03-31,0.1384,0,0.1384,None
14,2017-09-30,2017-12-31,0.1384,0,0.1384,None
15,2017-06-30,2017-09-30,0.1257,0,0.1257,None
16,2017-03-31,2017-06-30,0.1257,0,0.1257,None
17,2016-12-31,2017-03-31,0.1432,0,0.1432,None
18,2016-09-30,2016-12-31,0.1432,0,0.1432,None
